,Price,Indicator1,Indicator2,Indicator3,Indicator4,Dates
0,41.23,,,,,2022-08-04 00:00:00+00:00
1,40.94,,,,,2022-08-05 00:00:00+00:00
2,40.97,,,,,2022-08-08 00:00:00+00:00
3,41.03,,,,,2022-08-09 00:00:00+00:00
4,41.86,,,,,2022-08-10 00:00:00+00:00
5,41.76,,,,,2022-08-11 00:00:00+00:00
6,42.33,,,,,2022-08-12 00:00:00+00:00
7,42.15,,,,,2022-08-15 00:00:00+00:00
8,42.35,,,,,2022-08-16 00:00:00+00:00
9,42.43,,,,,2022-08-17 00:00:00+00:00
10,42.63,,,,,2022-08-18 00:00:00+00:00
11,42.02,41.80833333333333,,,,2022-08-19 00:00:00+00:00
12,41.26,41.81083333333333,,,,2022-08-22 00:00:00+00:00
13,40.86,41.80416666666667,,,,2022-08-23 00:00:00+00:00
14,41.15,41.81916666666667,,,,2022-08-24 00:00:00+00:00
15,41.78,41.88166666666667,,,,2022-08-25 00:00:00+00:00
16,40.52,41.77,,,,2022-08-26 00:00:00+00:00
17,40.39,41.655833333333334,,,,2022-08-29 00:00:00+00:00
18,40.04,41.464999999999996,,,,2022-08-30 00:00:00+00:00
19,40.31,41.31166666666667,,,,2022-08-31 00:00:00+00:00
20,40.99,41.19833333333333,,,,2022-09-01 00:00:00+00:00
21,40.49,41.03666666666667,,,,2022-09-02 00:00:00+00:00
22,40.38,40.84916666666667,,,,2022-09-06 00:00:00+00:00
23,41.47,40.803333333333335,,,,2022-09-07 00:00:00+00:00
24,42.71,40.92416666666667,,,,2022-09-08 00:00:00+00:00
25,42.94,41.097500000000004,41.42269230769231,,,2022-09-09 00:00:00+00:00
26,43.46,41.29,41.50846153846154,,,2022-09-12 00:00:00+00:00
27,42.18,41.32333333333333,41.55615384615385,,,2022-09-13 00:00:00+00:00
28,42.07,41.4525,41.598461538461535,,,2022-09-14 00:00:00+00:00
29,42.2,41.60333333333333,41.64346153846154,,,2022-09-15 00:00:00+00:00
30,41.7,41.74166666666667,41.63730769230769,,,2022-09-16 00:00:00+00:00
31,41.18,41.81416666666667,41.615,,,2022-09-19 00:00:00+00:00
32,40.43,41.767500000000005,41.541923076923084,,,2022-09-20 00:00:00+00:00
33,39.76,41.70666666666667,41.45,,,2022-09-21 00:00:00+00:00
34,39.3,41.61666666666667,41.33269230769231,,,2022-09-22 00:00:00+00:00
35,38.9,41.402499999999996,41.196923076923085,,,2022-09-23 00:00:00+00:00
36,38.36,41.04,41.0326923076923,,,2022-09-26 00:00:00+00:00
37,38.14,40.64,40.88346153846154,,,2022-09-27 00:00:00+00:00
38,39.13,40.27916666666667,40.801538461538456,,,2022-09-28 00:00:00+00:00
39,39.34,40.0425,40.74307692307693,,,2022-09-29 00:00:00+00:00
40,38.73,39.76416666666667,40.650000000000006,,,2022-09-30 00:00:00+00:00
41,39.88,39.57083333333333,40.57692307692308,,,2022-10-03 00:00:00+00:00
42,41.03,39.515,40.59653846153846,,,2022-10-04 00:00:00+00:00
43,41.3,39.525,40.63153846153846,,,2022-10-05 00:00:00+00:00
44,40.65,39.54333333333334,40.655,,,2022-10-06 00:00:00+00:00
45,39.76,39.54333333333333,40.63384615384616,,,2022-10-07 00:00:00+00:00
46,39.64,39.571666666666665,40.58192307692308,,,2022-10-10 00:00:00+00:00
47,39.56,39.626666666666665,40.54615384615385,,,2022-10-11 00:00:00+00:00
48,39.6,39.73,40.51615384615385,,,2022-10-12 00:00:00+00:00
49,40.35,39.91416666666667,40.473076923076924,40.872800000000005,,2022-10-13 00:00:00+00:00
50,39.98,39.985,40.36807692307693,40.8478,,2022-10-14 00:00:00+00:00
51,40.86,40.11166666666667,40.28807692307692,40.846199999999996,,2022-10-17 00:00:00+00:00
52,41.08,40.3075,40.19653846153846,40.8484,,2022-10-18 00:00:00+00:00
53,40.96,40.3975,40.14961538461539,40.847,,2022-10-19 00:00:00+00:00
54,40.23,40.33083333333333,40.07884615384615,40.8144,,2022-10-20 00:00:00+00:00
55,40.57,40.27,40.01615384615385,40.7906,,2022-10-21 00:00:00+00:00
56,40.98,40.2975,39.98846153846154,40.763600000000004,,2022-10-24 00:00:00+00:00
57,41.3,40.42583333333334,39.99307692307692,40.7466,,2022-10-25 00:00:00+00:00
58,41.79,40.605,40.04538461538462,40.735400000000006,,2022-10-26 00:00:00+00:00
59,41.58,40.77333333333333,40.11538461538461,40.7184,,2022-10-27 00:00:00+00:00
60,43.16,41.07,40.26384615384615,40.729,,2022-10-28 00:00:00+00:00
61,43.11,41.300000000000004,40.42576923076923,40.7508,,2022-10-31 00:00:00+00:00
62,42.76,41.531666666666666,40.595,40.7808,,2022-11-01 00:00:00+00:00
63,41.93,41.62083333333333,40.74076923076923,40.8022,,2022-11-02 00:00:00+00:00
